Month,Tourists
2014-01-28,146575
2014-02-28,141878
2014-03-28,133048
2014-04-28,112631
2014-05-28,90046
2014-06-28,103175
2014-07-28,133971
2014-08-28,140319
2014-09-28,105535
2014-10-28,121576
2014-11-28,119727
2014-12-28,178672
2015-01-28,156246
2015-02-28,165541
2015-03-28,157051
2015-04-28,122217
2015-05-28,113529
2015-06-28,115467
2015-07-28,175804
2015-08-28,166610
2015-09-28,143374
2015-10-28,132280
2015-11-28,144147
2015-12-28,206114
2016-01-28,194280
2016-02-28,197967
2016-03-28,192841
2016-04-28,136367
2016-05-28,125044
2016-06-28,118038
2016-07-28,209351
2016-08-28,186288
2016-09-28,148499
2016-10-28,150419
2016-11-28,167217
2016-12-28,224791
2017-01-28,219360
2017-02-28,197517
2017-03-28,188076
2017-04-28,160249
2017-05-28,121891
2017-06-28,123351
2017-07-28,205482
2017-08-28,190928
2017-09-28,145077
2017-10-28,152429
2017-11-28,167511
2017-12-28,244536
2018-01-28,238924
2018-02-28,235618
2018-03-28,233382
2018-04-28,180429
2018-05-28,129466
2018-06-28,146828
2018-07-28,217829
2018-08-28,200359
2018-09-28,149087
2018-10-28,153123
2018-11-28,195582
2018-12-28,253169
2019-01-28,244239
2019-02-28,252033
2019-03-28,244328
2019-04-28,166975
2019-05-28,37802
2019-06-28,63072
2019-07-28,115701
2019-08-28,143587
2019-09-28,108575
2019-10-28,118743
2019-11-28,176984
2019-12-28,241663
,
,
,
,
,
,
,
,
,
,
,
,
